block,supply,timestamp
8109658,539.58844257,2019-07-08T08:56:34
8108283,539.58844257,2019-07-08T03:51:11
8106908,539.58844257,2019-07-07T22:37:23
8105533,539.58844257,2019-07-07T17:33:01
8104158,539.58844257,2019-07-07T12:18:41
8102783,539.58844257,2019-07-07T07:19:41
8101408,539.58844257,2019-07-07T02:13:29
8100033,539.58844257,2019-07-06T20:59:45
8098658,539.58844257,2019-07-06T16:03:57
8097283,539.58844257,2019-07-06T10:50:55
8095908,539.58844257,2019-07-06T05:42:51
8094533,539.58844257,2019-07-06T00:42:41
8093158,539.58844257,2019-07-05T19:31:34
8091783,539.58844257,2019-07-05T14:10:13
8090408,539.58844257,2019-07-05T09:02:16
8089033,539.58844257,2019-07-05T04:04:13
8087658,539.58844257,2019-07-04T23:00:43
8086283,539.58844257,2019-07-04T17:51:44
8084908,539.58844257,2019-07-04T12:40:38
8083533,539.58844257,2019-07-04T07:32:23
8082158,539.58844257,2019-07-04T02:19:02
8080783,528.59044259,2019-07-03T21:17:11
8079408,528.59044259,2019-07-03T16:09:37
8078033,528.59044259,2019-07-03T10:54:19
8076658,528.59044259,2019-07-03T05:47:32
8075283,528.59124259,2019-07-03T00:33:48
8073908,528.59124259,2019-07-02T19:14:50
8072533,323.80739236,2019-07-02T14:12:55
8071158,323.80739236,2019-07-02T09:07:33
8069783,323.80739236,2019-07-02T03:53:38
8068408,323.80739236,2019-07-01T22:51:13
8067033,323.80739236,2019-07-01T17:34:51
8065658,323.80739236,2019-07-01T12:33:51
8064283,323.80739236,2019-07-01T07:26:48
8062908,323.80739236,2019-07-01T02:18:12
8061533,323.80739236,2019-06-30T21:09:20
8060158,323.80739236,2019-06-30T15:56:37
8058783,323.80739236,2019-06-30T10:42:24
8057408,323.80739236,2019-06-30T05:48:07
8056033,323.80739236,2019-06-30T00:34:23
8054658,323.80739236,2019-06-29T19:29:10
8053283,323.80739236,2019-06-29T14:25:48
8051908,323.80739236,2019-06-29T09:16:15
8050533,323.80739236,2019-06-29T04:09:52
8049158,323.80739236,2019-06-28T22:56:42
8047783,323.80739236,2019-06-28T17:49:43
8046408,323.80739236,2019-06-28T12:50:57
8045033,323.80739236,2019-06-28T07:34:33
8043658,323.80739236,2019-06-28T02:19:47
8042283,323.80739236,2019-06-27T21:11:34
8040908,318.90819236,2019-06-27T15:57:28
8039533,318.90819236,2019-06-27T10:52:26
8038158,318.90819236,2019-06-27T05:38:45
8036783,318.90819236,2019-06-27T00:27:49
8035408,318.90739236,2019-06-26T19:19:05
8034033,318.80739236,2019-06-26T14:08:14
8032658,318.80739236,2019-06-26T08:54:03
8031283,318.80739236,2019-06-26T03:48:13
8029908,318.80739236,2019-06-25T22:48:33
8028533,318.80739236,2019-06-25T17:36:27
8027158,318.80739236,2019-06-25T12:39:38
8025783,318.80739236,2019-06-25T07:27:34
8024408,318.80739236,2019-06-25T02:09:18
